Bases Occupied by Squadron and Date								
				Date of Arrival on Base				
Country	Service	Squadron	Base	Day	Month	Year	Service Calculation	Notes
Britain	RFC	66	Filton	27	7	1916	RFC	
Britain	RFC	66	St-Omer	3	3	1917	RFC	
Britain	RFC	66	Vert Galand	18	3	1917	RFC	
Britain	RFC	66	Liettres	31	5	1917	RFC	
Britain	RFC	66	Calais	20	6	1917	RFC	
Britain	RFC	66	Estree-Blanche	6	7	1917	RFC	
Britain	RFC	66	Candas	11	11	1917	RFC	Sent to Italian Front
Britain	RFC	68	Harlaxton	20	1	1917	RFC	
Britain	RFC	68	Baizieux	21	9	1917	RFC	
Britain	RFC	68	"DB - renumbered 2 Sqn, AFC"	19	1	1918	RFC	
Britain	RFC	69	South Carlton	28	12	1916	RFC	
Britain	RFC	69	Lympne	24	8	1917	RFC	
Britain	RFC	69	St-Omer	9	9	1917	RFC	
Britain	RFC	69	Savy	10	9	1917	RFC	
Britain	RFC	69	Bailleul (Town)	9	11	1917	RFC	
Britain	RFC	69	"DB - renumbered 3 Sqn, AFC"	19	1	1918	RFC	
Britain	RFC	70	South Farnborough	22	4	1916	RFC	
Britain	RFC	70	Fienvillers	31	5	1916	RFC	
Britain	RFC	70	Auchel	16	12	1916	RFC	
Britain	RFC	70	Vert Galand	2	3	1917	RFC	
Britain	RFC	70	Fienvillers	2	4	1917	RFC	
Britain	RFC	70	Boisdinghem	14	5	1917	RFC	
Britain	RFC	70	Liettres	27	6	1917	RFC	
Britain	RFC	70	Poperinghe	8	9	1917	RFC	
Britain	RFC	70	Marieux	14	3	1918	RFC	
Britain	RFC	70	Fienvillers	28	3	1918	RFC	
Britain	RAF	70	Remaisnil	16	4	1918	RAF	
Britain	RAF	70	Boisdinghem	8	7	1918	RAF	
Britain	RAF	70	Esquerdes	1	8	1918	RAF	
Britain	RAF	70	Droglandt	22	9	1918	RAF	
Britain	RAF	70	Menin	23	10	1918	RAF	
Britain	RFC	71	Castle Bromwich	27	3	1917	RFC	
Britain	RFC	71	St-Omer	18	12	1917	RFC	
Britain	RFC	71	Bruay	22	12	1917	RFC	
Britain	RFC	71	"DB - renumbered 4 Sqn, AFC"	19	1	1918	RFC	
Britain	RFC	73	Upavon	2	7	1917	RFC	
Britain	RFC	73	St-Omer	9	1	1918	RFC	
Britain	RFC	73	Liettres	12	1	1918	RFC	
Britain	RFC	73	Champien	5	3	1918	RFC	
Britain	RFC	73	Cachy	23	3	1918	RFC	
Britain	RFC	73	Remaisnil	24	3	1918	RFC	
Britain	RFC	73	Beauvois	30	3	1918	RFC	
Britain	RAF	73	Fouquerolles	3	6	1918	RAF	
Britain	RAF	73	Planques	12	6	1918	RAF	
Britain	RAF	73	Touquin	14	7	1918	RAF	
Britain	RAF	73	La Bellevue	4	8	1918	RAF	
Britain	RAF	73	Foucaucourt	16	9	1918	RAF	
Britain	RAF	73	Estrees-en-Chaussee	23	9	1918	RAF	
Britain	RAF	73	Hervilly	8	10	1918	RAF	
Britain	RAF	73	Malincourt	17	10	1918	RAF	
Britain	RFC	74	Northolt	1	7	1917	RFC	
Britain	RFC	74	London Colney	10	7	1917	RFC	
Britain	RFC	74	Goldhanger	25	3	1918	RFC	
Britain	RFC	74	St-Omer	30	3	1918	RFC	
Britain	RAF	74	Tetegham	2	4	1918	RAF	
Britain	RAF	74	La Lovie	9	4	1918	RAF	
Britain	RAF	74	Clairmarais North	11	4	1918	RAF	
Britain	RAF	74	Clairmarais South	7	8	1918	RAF	
Britain	RAF	74	La Lovie	28	9	1918	RAF	
Britain	RAF	74	Clairmarais South	3	10	1918	RAF	
Britain	RAF	74	Marcke	23	10	1918	RAF	
Britain	RAF	74	Cuerne	1	11	1918	RAF	
Britain	RFC	79	Gosport	1	8	1917	RFC	
Britain	RFC	79	Beaulieu	8	8	1917	RFC	
Britain	RFC	79	St-Omer	20	2	1918	RFC	
Britain	RFC	79	Estree-Blanche	22	3	1918	RFC	
Britain	RFC	79	Champien	5	3	1918	RFC	
Britain	RFC	79	Cachy	22	3	1918	RFC	
Britain	RFC	79	Beauvois	24	3	1918	RFC	
Britain	RAF	79	Ste-Marie-Cappel	16	5	1918	RAF	
Britain	RAF	79	Reckem	22	10	1918	RAF	
Britain	RFC	80	Thetford	1	8	1917	RFC	
Britain	RFC	80	Montrose	10	8	1917	RFC	
Britain	RFC	80	Beverley	17	11	1917	RFC	
Britain	RFC	80	Boisdinghem	27	1	1918	RFC	
Britain	RFC	80	Serny	27	2	1918	RFC	
Britain	RFC	80	Champien	5	3	1918	RFC	
Britain	RFC	80	Cachy	22	3	1918	RFC	
Britain	RFC	80	Remaisnil	24	3	1918	RFC	
Britain	RFC	80	Wamin	29	3	1918	RFC	
Britain	RFC	80	Belleville Farm	30	3	1918	RFC	
Britain	RAF	80	La Bellevue	4	4	1918	RAF	
Britain	RAF	80	Fouquerolles	3	6	1918	RAF	
Britain	RAF	80	Liettres	21	6	1918	RAF	
Britain	RAF	80	Touquin	14	7	1918	RAF	
Britain	RAF	80	Vignacourt	4	8	1918	RAF	
Britain	RAF	80	Allonville	31	8	1918	RAF	
Britain	RAF	80	Assevillers	8	8	1918	RAF	
Britain	RAF	80	Bouvincourt	8	10	1918	RAF	
Britain	RAF	80	Bertry West	27	10	1918	RAF	
Britain	RAF	80	Flaumont	10	11	1918	RAF	
Britain	RFC	82	Doncaster	7	1	1917	RFC	
Britain	RFC	82	Beverley	6	2	1917	RFC	
Britain	RFC	82	Waddington	30	3	1917	RFC	
Britain	RFC	82	St-Omer	17	11	1917	RFC	
Britain	RFC	82	Savy	20	11	1917	RFC	
Britain	RFC	82	Golancourt	22	1	1918	RFC	
Britain	RFC	82	Catigny	22	3	1918	RFC	
Britain	RFC	82	Allonville	24	3	1918	RFC	
Britain	RFC	82	Bertangles	27	3	1918	RFC	
Britain	RFC	82	Agenvillers	28	3	1918	RFC	
Britain	RAF	82	Quevauvillers	7	6	1918	RAF	
Britain	RAF	82	Haussimont	15	7	1918	RAF	
Britain	RAF	82	Quelmes	2	8	1918	RAF	
Britain	RAF	82	Droglandt	3	9	1918	RAF	
Britain	RAF	82	Proven	20	9	1918	RAF	
Britain	RAF	82	Bisseghem	22	101	1918	RAF	
Britain	RAF	82	Menin	6	11	1918	RAF	
Britain	RFC	83	Montrose	7	1	1917	RFC	
Britain	RFC	83	Spittlegate	15	1	1917	RFC	
Britain	RFC	83	Wyton	15	9	1917	RFC	
Britain	RFC	83	Narborough	12	12	1917	RFC	
Britain	RFC	83	St-Omer	6	3	1918	RFC	
Britain	RFC	83	Auchel	7	3	1918	RFC	
Britain	RAF	83	Franqueville	2	5	1918	RAF	
Britain	RAF	83	Lahoussoye	9	10	1918	RAF	
Britain	RAF	83	Estrees-en-Chaussee	26	10	1918	RAF	
Britain	RFC	84	Beaulieu	7	1	1917	RFC	
Britain	RFC	84	Lilbourne	22	3	1917	RFC	
Britain	RFC	84	Liettres	23	9	1917	RFC	
Britain	RFC	84	Le Hameau	12	11	1917	RFC	
Britain	RFC	84	Flez	29	12	1917	RFC	
Britain	RFC	84	Champien	22	3	1918	RFC	
Britain	RFC	84	Vert Galand	23	3	1918	RFC	
Britain	RFC	84	Conteville	28	3	1918	RFC	
Britain	RAF	84	Bertangles	4	4	1918	RAF	
Britain	RAF	84	Assevillers	8	9	1918	RAF	
Britain	RAF	84	Bouvincourt	8	10	1918	RAF	
Britain	RAF	84	Bertry West	25	10	1918	RAF	
Britain	RFC	85	Upavon	1	8	1917	RFC	
Britain	RFC	85	Norwich	10	8	1917	RFC	
Britain	RFC	85	Hounslow	27	11	1917	RFC	
Britain	RAF	85	Marquise	22	5	1918	RAF	
Britain	RAF	85	Petite Synthe	25	5	1918	RAF	
Britain	RAF	85	St-Omer	11	6	1918	RAF	
Britain	RAF	85	Bertangles	13	8	1918	RAF	
Britain	RAF	85	Savy	5	9	1918	RAF	
Britain	RAF	85	Foucaucourt	23	9	1918	RAF	
Britain	RAF	85	Estrees-en-Chaussee	9	10	1918	RAF	
Britain	RAF	85	Escaufourt	27	10	1918	RAF	
Britain	RFC	85	Phalempin	9	1	1918	RFC	
Britain	RFC	87	Upavon	1	9	1917	RFC	
Britain	RFC	87	Sedgeford	15	9	1917	RFC	
Britain	RFC	87	Hounslow	19	12	1917	RFC	
Britain	RAF	87	St-Omer	24	4	1918	RAF	
Britain	RAF	87	Petite Synthe	27	4	1918	RAF	
Britain	RAF	87	Estrees-en-Chaussee	27	5	1918	RAF	
Britain	RAF	87	Rougefay	29	6	1918	RAF	
Britain	RAF	87	Soncamp	19	9	1918	RAF	
Britain	RAF	87	Boussieres	4	11	1918	RAF	
Britain	RFC	88	Gosport	24	7	1917	RFC	
Britain	RFC	88	Harling Road	2	8	1917	RFC	
Britain	RAF	88	Kenley	2	4	1918	RAF	
Britain	RAF	88	Cappelle	16	4	1918	RAF	
Britain	RAF	88	Drionville	19	7	1918	RAF	
Britain	RAF	88	Serny	2	8	1918	RAF	
Britain	RAF	88	Floringhem	21	10	1918	RAF	
Britain	RAF	88	Ascq	23	10	1918	RAF	
Britain	RAF	88	Gondecourt	26	10	1918	RAF	
Britain	RAF	88	Bersee	28	10	1918	RAF	
Britain	RFC	92	London Colney	1	9	1917	RFC	
Britain	RFC	92	Chattis Hill	14	9	1917	RFC	
Britain	RFC	92	Tangmere	17	3	1917	RFC	
Britain	RAF	92	Bray-Dunes	2	7	1918	RAF	
Britain	RAF	92	Drionville	19	7	1918	RAF	
Britain	RAF	92	Serny	2	8	1918	RAF	
Britain	RAF	92	Proyart	27	9	1918	RAF	
Britain	RAF	92	Estrees-en-Chausee	9	10	1918	RAF	
Britain	RAF	92	Bertry East	25	10	1918	RAF	
Britain	RAF	94	Gosport	30	7	1918	RAF	
Britain	RAF	94	Harling Road	2	8	1918	RAF	
Britain	RAF	94	Shoreham	27	7	1918	RAF	
Britain	RAF	94	Upper Heyford	19	8	1918	RAF	
Britain	RAF	94	Senlis-le-Sec	31	10	1918	RAF	
Britain	RFC	97	Waddington	1	12	1917	RFC	
Britain	RFC	97	Stonehenge	21	1	1918	RFC	
Britain	RFC	97	Netheravon	31	3	1918	RFC	
Britain	RAF	97	Xaffevillers	3	8	1918	RAF	
Britain	RFC	98	Harlaxton	15	8	1917	RFC	
Britain	RFC	98	Old Sarum	30	8	1917	RFC	
Britain	RFC	98	Lympne	1	3	1918	RFC	
Britain	RAF	98	St-Omer	1	4	1918	RAF	
Britain	RAF	98	Clairmarais	1	4	1918	RAF	
Britain	RAF	98	Alquines	12	4	1918	RAF	
Britain	RAF	98	Coudekerque	25	5	1918	RAF	
Britain	RAF	98	Ruisseauville	6	6	1918	RAF	
Britain	RAF	98	Drionville	21	6	1918	RAF	
Britain	RAF	98	Chailly	13	7	1918	RAF	
Britain	RAF	98	Blangermont	3	8	1918	RAF	
Britain	RAF	98	Abscon	27	10	1918	RAF	
Britain	RFC	99	Yatesbury	15	8	1917	RFC	
Britain	RFC	99	Ford Farm	30	8	1917	RFC	
Britain	RAF	99	St-Omer	25	4	1918	RAF	
Britain	RAF	99	Tantonville	4	5	1918	RAF	
Britain	RAF	99	Azelot	5	6	1918	RAF	
Britain	RAF	99	Auxi-le-Chateau	16	11	1918	RAF	
Britain	RFC	100	Hingham	11	2	1917	RFC	
Britain	RFC	100	Farnborough	23	2	1917	RFC	
Britain	RFC	100	St-Andre-aux-Bois	21	3	1917	RFC	
Britain	RFC	100	Izel-le-Hameau	1	4	1917	RFC	
Britain	RFC	100	Treizennes	16	5	1917	RFC	
Britain	RFC	100	Ochey	5	10	1917	RFC	
Britain	RAF	100	Villesneux	3	4	1918	RAF	
Britain	RAF	100	Ochey	9	5	1918	RAF	
Britain	RAF	100	Xaffevillers	10	8	1918	RAF	
Britain	RFC	101	Farnborough	12	7	1917	RFC	
Britain	RFC	101	St-Andre-aux-Bois	25	7	1917	RFC	
Britain	RAF	101	Le Hameau	7	8	1918	RAF	
Britain	RAF	101	Clairmarais South	31	8	1918	RAF	
Britain	RFC	101	Auchel	2	2	1918	RFC	
Britain	RFC	101	Catigny	16	2	1918	RFC	
Britain	RFC	101	Fienvillers	24	3	1918	RFC	
Britain	RFC	101	Haute Vissee	25	3	1918	RFC	
Britain	RAF	101	Famechon	7	4	1918	RAF	
Britain	RAF	101	Lahoussoye	8	8	1918	RAF	
Britain	RAF	101	Proyart East	8	10	1918	RAF	
Britain	RAF	101	Hancourt	25	10	1918	RAF	
Britain	RFC	102	Hingham	9	8	1917	RFC	
Britain	RFC	102	St-Andre-aux-Bois	24	9	1917	RFC	
Britain	RFC	102	Le Hameau	28	8	1917	RFC	
Britain	RFC	102	Treizennes	3	10	1917	RFC	
Britain	RFC	102	Le Hameau	5	3	1918	RFC	
Britain	RAF	102	Surcamps	10	4	1918	RAF	
Britain	RAF	102	Famechon	19	9	1918	RAF	
Britain	RAF	102	Hurtebise Farm	19	10	1918	RAF	
Britain	RAF	102	La Targette	23	10	1918	RAF	
Britain	RAF	102	Bevillers	27	10	1918	RAF	
Britain	RFC	103	Beaulieu	1	9	1917	RFC	
Britain	RFC	103	Old Sarum	8	9	1917	RFC	
Britain	RAF	103	Serny	12	5	1918	RAF	
Britain	RAF	103	Fourneuil	3	6	1918	RAF	
Britain	RAF	103	Serny	21	6	1918	RAF	
Britain	RAF	103	Floringhem	21	10	1918	RAF	
Britain	RAF	103	Ronchin	26	10	1918	RAF	
Britain	RFC	104	Wyton	1	9	1917	RFC	
Britain	RFC	104	Andover	16	9	1917	RFC	
Britain	RAF	104	St-Omer	19	5	1918	RAF	
Britain	RAF	104	Azelot	20	5	1918	RAF	
Britain	RFC	107	Catterick	8	10	1917	RFC	
Britain	RFC	107	Stonehenge	18	10	1917	RFC	
Britain	RFC	107	Lake Down	2	12	1917	RFC	
Britain	RAF	107	Le Quesnoy	5	6	1918	RAF	
Britain	RAF	107	Drionville	25	6	1918	RAF	
Britain	RAF	107	Chailly	15	7	1918	RAF	
Britain	RAF	107	Ecoivres	3	8	1918	RAF	
Britain	RAF	107	Moislains	26	10	1918	RAF	
Britain	RFC	108	Montrose	1	11	1917	RFC	
Britain	RFC	108	Stonehenge	12	11	1917	RFC	
Britain	RFC	108	Lake Down	2	12	1917	RFC	
Britain	RAF	108	Kenley	14	6	1918	RAF	
Britain	RAF	108	Cappelle	22	7	1918	RAF	
Britain	RAF	108	Bisseghem	27	10	1918	RAF	
Britain	RFC	110	Rendcomb	1	11	1917	RFC	
Britain	RFC	110	Dover	12	11	1917	RFC	
Britain	RFC	110	Sedgeford	26	11	1917	RFC	
Britain	RAF	110	Kenley	15	6	1918	RAF	
Britain	RAF	110	Bettoncourt	1	9	1918	RAF	
Britain	RFC	115	Catterick	1	12	1917	RFC	
Britain	RAF	115	Netheravon	15	4	1918	RAF	
Britain	RAF	115	Castle Bromwich	17	7	1918	RAF	
Britain	RAF	115	Roville-aux-Chenes	29	9	1918	RAF	
Britain	RAF	115	St-Inglevert	1	11	1918	RAF	
Britain	RFC	148	Andover	10	2	1918	RFC	
Britain	RFC	148	Ford Junction	1	3	1918	RFC	
Britain	RAF	148	Auchel	25	4	1918	RAF	
Britain	RAF	148	Sains-les-Pernes	3	5	1918	RAF	
Britain	RAF	148	Camblain-l'Abbe	22	10	1918	RAF	
Britain	RAF	148	Erre	31	10	1918	RAF	
Britain	RFC	149	Ford Junction	1	3	1918	RFC	
Britain	RAF	149	Marquise	2	6	1918	RAF	
Britain	RAF	149	Quilen	4	6	1918	RAF	
Britain	RAF	149	Alquines	16	6	1918	RAF	
Britain	RAF	149	Clairmarais North	16	9	1918	RAF	
Britain	RAF	149	Ste-Margarite	25	10	1918	RAF	
Britain	RAF	151	Hainault Farm	12	6	1918	RAF	
Britain	RAF	151	Marquise	19	6	1918	RAF	
Britain	RAF	151	Fontaine-sur-May	23	6	1918	RAF	
Britain	RAF	151	Vignacourt	8	9	1918	RAF	
Britain	RAF	151	Bancourt	8	10	1918	RAF	
Britain	RAF	152	Rochford	1	10	1918	RAF	
Britain	RAF	152	Carvin	18	10	1918	RAF	
Britain	RNAS	1(N)	Fort Grange	17	10	1914	RNAS	"Originally named ""No. 1 Wing, RNAS"", A Flight named Detached Sqn., RNAS"
Britain	RNAS	1(N)	France?	28	2	1915	RNAS	
Britain	RNAS	1(N)	Furnes	3	12	1916	RNAS	"Renamed from ""Detached Sqn., RNAS"""
Britain	RNAS	1(N)	Chipilly	15	2	1917	RNAS	
Britain	RNAS	1(N)	La Bellevue	11	4	1917	RNAS	
Britain	RNAS	1(N)	Bailleul (Asylum Ground)	1	6	1917	RNAS	
Britain	RNAS	1(N)	Middle Aerodrome	2	11	1917	RNAS	
Britain	RNAS	1(N)	Dover	10	12	1917	RNAS	
Britain	RNAS	1(N)	Teteghem	16	2	1918	RNAS	
Britain	RNAS	1(N)	Ste-Marie-Cappel	27	3	1918	RNAS	
Britain	RNAS	1(N)	Fienvillers	28	3	1918	RNAS	
Britain	RAF	201	Fienvillers	1	4	1918	RAF	"1N renamed to 201 Sqn, RAF"
Britain	RAF	201	Nouex-les-Auxi	12	4	1918	RAF	
Britain	RAF	201	Ste-Marie-Cappel	27	7	1918	RAF	
Britain	RAF	201	Poulainville	6	8	1918	RAF	
Britain	RAF	201	Nouex-les-Auxi	14	8	1918	RAF	
Britain	RAF	201	Baizieux	19	9	1918	RAF	
Britain	RAF	201	Beugnatre	14	10	1918	RAF	
Britain	RAF	201	La Targette	27	10	1918	RAF	
Britain	RNAS	2(N)	Eastchurch	17	10	1914	RNAS	"Originally named ""B Sqn, No. 1 Wing, RNAS"""
Britain	RNAS	2(N)	France?	2	8	1915	RNAS	
Britain	RNAS	2(N)	Dover	12	8	1915	RNAS	Moved for Operations in Aegean
Britain	RNAS	2(N)	St-Pol	5	11	1916	RNAS	Returned from Aegean
Britain	RNAS	2(N)	Bergues	26	1	1918	RNAS	
Britain	RAF	202	Bergues	1	4	1918	RAF	"2N renamed to 202 Sqn, RAF"
Britain	RAF	202	Bergues	1	4	1918	RAF	
Britain	RNAS	3(N)	Eastchurch		5	1914	RNAS	"Originally named ""Eastchurch Squadron, RNAS"""
Britain	RNAS	3(N)	Ostend	27	8	1914	RNAS	
Britain	RNAS	3(N)	St-Pol	1	9	1914	RNAS	
Britain	RNAS	3(N)	Dover	26	2	1915	RNAS	Moved for Operations in Aegean
Britain	RNAS	3(N)	St-Pol	5	11	1916	RNAS	Returned from Aegean
Britain	RNAS	3(N)	Vert Galand	1	2	1917	RNAS	
Britain	RNAS	3(N)	Bertangles	28	2	1917	RNAS	
Britain	RNAS	3(N)	Marieux	26	3	1917	RNAS	
Britain	RNAS	3(N)	Furnes	15	6	1917	RNAS	
Britain	RNAS	3(N)	Bray-Dunes	6	9	1917	RNAS	
Britain	RNAS	3(N)	Walmer	1	11	1917	RNAS	
Britain	RNAS	3(N)	Bray-Dunes	2	1	1918	RNAS	
Britain	RNAS	3(N)	St-Eloi	11	3	1918	RNAS	
Britain	RNAS	3(N)	Treizennes	26	3	1918	RNAS	
Britain	RAF	203	Treizennes	1	4	1918	RAF	"3N renamed to 203 Sqn, RAF"
Britain	RAF	203	Liettres	9	4	1918	RAF	
Britain	RAF	203	Filescamp Farm	6	5	1918	RAF	
Britain	RAF	203	Allonville	14	8	1918	RAF	
Britain	RAF	203	Filescamp Farm	6	9	1918	RAF	
Britain	RAF	203	Le Hameau	23	9	1918	RAF	
Britain	RAF	203	Bruille	24	10	1918	RAF	
Britain	RNAS	4(N)	Dover	29	3	1915	RNAS	"RNAS Defence Flight, Dover renamed 4N"
Britain	RNAS	4(N)	Eastchurch	3	8	1915	RNAS	"Renamed 4 Wing, RNAS"
Britain	RNAS	4(N)	Coudekerque	31	12	1916	RNAS	"Reformed from elements of 5 Wing, RNAS"
Britain	RNAS	4(N)	Bray-Dunes	1	4	1917	RNAS	
Britain	RNAS	4(N)	Walmer	2	1	1918	RNAS	
Britain	RNAS	4(N)	Bray-Dunes	6	3	1918	RNAS	
Britain	RAF	204	Bray-Dunes	1	4	1918	RAF	"4N renamed to 204 Sqn., RAF"
Britain	RAF	204	Teteghem	13	4	1918	RAF	
Britain	RAF	204	Cappelle	30	4	1918	RAF	
Britain	RAF	204	Teteghem	9	5	1918	RAF	
Britain	RAF	204	Heule	24	10	1918	RAF	
Britain	RNAS	5(N)	Coudekerque	31	12	1916	RNAS	"Originally B Sqn., 5 Wing, RNAS"
Britain	RNAS	5(N)	Petite Synthe	1	4	1917	RNAS	
Britain	RNAS	5(N)	Villers-Bretonneux	6	3	1918	RNAS	
Britain	RNAS	5(N)	Mons-en-Chaussee	11	3	1918	RNAS	
Britain	RNAS	5(N)	Champien	22	3	1918	RNAS	
Britain	RNAS	5(N)	Bertangles	24	3	1918	RNAS	
Britain	RNAS	5(N)	Bois-de-Roche	28	3	1918	RNAS	
Britain	RAF	205	Bois-de-Roche	1	4	1918	RAF	"5N renamed to 205 Sqn., RAF"
Britain	RAF	205	Bovelles	25	8	1918	RAF	
Britain	RAF	205	Proyart East	16	8	1918	RAF	
Britain	RAF	205	Moislains	7	10	1918	RAF	
Britain	RNAS	6(N)	?	1	11	1916	RNAS	"Originally named 'A' Sqn., No 4 Wing, RNAS"
Britain	RNAS	6(N)	DB		8	1917	RNAS	Disbanded
Britain	RNAS	6(N)	Dover	1	11	1917	RNAS	Reformed
Britain	RNAS	6(N)	Petite Synthe	14	1	1918	RNAS	
Britain	RNAS	6(N)	Ste-Marie-Cappel	31	3	1918	RNAS	
Britain	RAF	206	Ste-Marie-Cappel	1	4	1918	RAF	"6N renamed 206 Sqn., RAF"
Britain	RAF	206	Boisdinghem	11	4	1918	RAF	
Britain	RAF	206	Alquines	5	6	1918	RAF	
Britain	RAF	206	Ste-Marie-Cappel	5	10	1918	RAF	
Britain	RAF	206	Linselles	24	10	1918	RAF	
Britain	RNAS	7(N)	Petite Synthe	1	11	1916	RNAS	"Originally B Sqn., 4 Wing, RNAS"
Britain	RNAS	7(N)	Coudekerque	2	4	1917	RNAS	
Britain	RNAS	7(N)	Coudekerque	28	7	1917	RNAS	"Split into 7 and 7A Sqns, RNAS. 7A became A Sqn, RNAS"
Britain	RAF	207	Coudekerque	1	4	1918	RAF	"7N renamed to 207 Sqn, RAF"
Britain	RAF	207	Netheravon	22	4	1918	RAF	
Britain	RAF	207	Andover	13	5	1918	RAF	
Britain	RAF	207	Ligescourt	7	6	1918	RAF	
Britain	RAF	207	Estrees-en-Chaussee	25	10	1918	RAF	
Britain	RNAS	8(N)	St-Pol	25	10	1916	RNAS	"Formed from 1, 4, 5 Wings"
Britain	RNAS	8(N)	Vert Galand	26	10	1916	RNAS	
Britain	RNAS	8(N)	Furnes	7	2	1917	RNAS	
Britain	RNAS	8(N)	Auchel	28	3	1917	RNAS	
Britain	RNAS	8(N)	St-Eloi	16	5	1917	RNAS	
Britain	RNAS	8(N)	Bray-Dunes	28	2	1918	RNAS	
Britain	RNAS	8(N)	Walmer	1	3	1918	RNAS	
Britain	RNAS	8(N)	Teteghem	29	3	1918	RNAS	
Britain	RAF	208	Teteghem	1	4	1918	RAF	"8N renamed 208, Sqn., RAF"
Britain	RAF	208	La Gorgue	2	4	1918	RAF	
Britain	RAF	208	Serny	8	4	1918	RAF	
Britain	RAF	208	Tramecourt	30	7	1918	RAF	
Britain	RAF	208	Foucaucourt	22	9	1918	RAF	
Britain	RAF	208	Estrees-en-Chaussee	9	10	1918	RAF	
Britain	RAF	208	Maretz	26	10	1918	RAF	
Britain	RNAS	9(N)	St-Pol	1	2	1917	RNAS	"Formed from 8 N Sqn., RNAS"
Britain	RNAS	9(N)	Furnes	15	5	1917	RNAS	
Britain	RNAS	9(N)	Flez	15	6	1917	RNAS	
Britain	RNAS	9(N)	Le Hameau	5	7	1917	RNAS	
Britain	RNAS	9(N)	Frontier Aerodrome	10	7	1917	RNAS	
Britain	RNAS	9(N)	Leffrinckhoucke	25	7	1917	RNAS	
Britain	RNAS	9(N)	Frontier Aerodrome	1	10	1917	RNAS	
Britain	RNAS	9(N)	Middle Aerodrome	10	10	1917	RNAS	
Britain	RNAS	9(N)	Dover	16	2	1918	RNAS	
Britain	RNAS	9(N)	Middle Aerodrome	20	3	1918	RNAS	
Britain	RNAS	9(N)	Teteghem	21	3	1918	RNAS	
Britain	RNAS	9(N)	Bray-Dunes	21	3	1918	RNAS	
Britain	RNAS	9(N)	Cappelle	23	3	1918	RNAS	
Britain	RNAS	9(N)	Bailleul	27	3	1918	RNAS	
Britain	RNAS	9(N)	Clairmarais	29	3	1918	RNAS	
Britain	RAF	209	Clairmarais	1	4	1918	RAF	"9N renamed 209 Sqn., RAF"
Britain	RAF	209	Bertangles	7	4	1918	RAF	
Britain	RAF	209	Quelmes	20	7	1918	RAF	
Britain	RAF	209	Bertangles	6	8	1918	RAF	
Britain	RAF	209	Le Hameau	14	8	1918	RAF	
Britain	RAF	209	Bruille	24	10	1918	RAF	
Britain	RNAS	10(N)	St-Pol	12	2	1917	RNAS	
Britain	RNAS	10(N)	Furnes	25	3	1917	RNAS	
Britain	RNAS	10(N)	Droglandt	15	5	1917	RNAS	
Britain	RNAS	10(N)	Leffrinckhoucke	4	10	1917	RNAS	
Britain	RNAS	10(N)	Teteghem	27	11	1917	RNAS	
Britain	RAF	210	Treizennes	1	4	1918	RAF	"10N renamed to 210 Sqn., RAF"
Britain	RAF	210	Liettres	9	4	1918	RAF	
Britain	RAF	210	St-Omer	27	4	1918	RAF	
Britain	RAF	210	Ste-Marie-Cappel	30	5	1918	RAF	
Britain	RAF	210	Teteghem	9	7	1918	RAF	
Britain	RAF	210	Eringhem	22	7	1918	RAF	
Britain	RAF	210	Boussieres	23	10	1918	RAF	
Britain	RNAS	11(N)	Dunkerque	8	3	1917	RNAS	
Britain	RNAS	11(N)	Hondschoote	11	7	1917	RNAS	
Britain	RNAS	11(N)	Hondschoote	27	8	1917	RNAS	Disbanded
Britain	RNAS	11(N)	Petite Synthe	10	3	1918	RNAS	Reformed
Britain	RAF	211	Petite Synthe	1	4	1918	RAF	"11N renamed 211 Sqn., RAF"
Britain	RAF	211	Iris Farm	24	10	1918	RAF	
Britain	RNAS	12N	Petite Synthe	1	7	1917	RNAS	Training squadron moved from Great Yarmouth
Britain	RNAS	12N	Petite Synthe	1	4	1918	RAF	Disbanded
Britain	RNAS	13(N)	St-Pol	15	1	1918	RNAS	Renamed from 'St-Pol Defence Sqn.'
Britain	RNAS	13(N)	Bergues	25	1	1918	RNAS	
Britain	RAF	213	Bergues	1	4	1918	RAF	"13N renamed 213 Sqn., RAF"
Britain	RNAS	14(N)	Coudekerque	8	12	1917	RNAS	"Formed from 7A Sqn., RNAS"
Britain	RNAS	14(N)	Alquines	10	3	1918	RNAS	
Britain	RNAS	14(N)	Coudekerque	26	3	1918	RNAS	
Britain	RAF	214	Coudekerque	1	4	1918	RAF	"14N renamed 214 Sqn., RAF"
Britain	RAF	214	St-Inglevert	29	6	1918	RAF	
Britain	RAF	214	Quilen	24	10	1918	RAF	
Britain	RAF	214	Chemy	30	10	1918	RAF	
Britain	RNAS	15(N)	Coudekerque	10	3	1918	RNAS	"Formed from 7 and 14 N, RNAS"
Britain	RAF	215	Coudekerque	1	4	1918	RAF	"15N renamed 215 Sqn., RAF"
Britain	RAF	215	Netheravon	23	4	1918	RAF	
Britain	RAF	215	Andover	13	5	1918	RAF	
Britain	RAF	215	Alquines	4	7	1918	RAF	
Britain	RAF	215	Xaffevillers	19	8	1918	RAF	
Britain	RNAS	16(N)	Ochey	8	1	1918	RNAS	"Formed from A Sqn., RNAS"
Britain	RNAS	16(N)	Villesneux	30	3	1918	RNAS	
Britain	RAF	216	Villesneux	1	4	1918	RAF	"16N renamed 216 Sqn., RAF"
